[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/saveHotDatas/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/saveTeamDatas] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/saveTeamDatas.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/saveTeamDatas/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/addHotDatas] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/addHotDatas.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/addHotDatas/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/addTeamDatas] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/addTeamDatas.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/addTeamDatas/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/selectTeam] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/selectTeam.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/selectTeam/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/find] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/find.*] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/find/] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/update] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/update.*] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/update/] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/del] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/del.*] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/del/] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/add] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/add.*] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/add/] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/findCompNewsView] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/findCompNewsView.*] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/findCompNewsView/] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/findCompetitionNewsView] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/findCompetitionNewsView.*] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/findCompetitionNewsView/] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/delete.do] onto handler 'competitionNewsController'
